,Rank,Club,Country,Level,Elo
97,98,Nuernberg,GER,2,1627.8248291
113,None,Karlsruhe,GER,2,1617.6394043
129,None,Bochum,GER,2,1590.6529541
141,None,Gladbach,GER,2,1575.27001953
151,None,St Pauli,GER,2,1565.99658203
160,None,Hannover,GER,2,1560.40942383
164,None,Koeln,GER,2,1553.17224121
173,None,Mainz,GER,2,1543.95349121
194,None,Fuerth,GER,2,1526.55871582
195,None,TeBe,GER,2,1526.3104248
196,None,Cottbus,GER,2,1525.35754395
235,None,Fortuna Koeln,GER,2,1492.05175781
236,None,Oberhausen,GER,2,1491.34521484
247,None,St Kickers,GER,2,1484.81604004
300,None,Aachen,GER,2,1437.1595459
301,None,Chemnitz,GER,2,1437.1595459
302,None,Offenbach,GER,2,1437.1595459
303,None,Waldhof,GER,2,1437.1595459
