,Rank,Club,Country,Level,Elo
103,None,Stuttgart,GER,2,1599.02197266
124,None,Nuernberg,GER,2,1571.96508789
131,None,Hannover,GER,2,1566.30957031
183,None,Karlsruhe,GER,2,1507.29968262
184,None,Union Berlin,GER,2,1506.61791992
194,None,Bochum,GER,2,1499.32922363
201,None,Lautern,GER,2,1496.86694336
217,None,St Pauli,GER,2,1479.65539551
219,None,Braunschweig,GER,2,1478.26806641
234,None,Heidenheim,GER,2,1468.32128906
254,None,Bielefeld,GER,2,1454.41564941
259,None,Fuerth,GER,2,1449.55114746
299,None,Duesseldorf,GER,2,1420.05297852
302,None,Muenchen 60,GER,2,1418.11047363
312,None,Sandhausen,GER,2,1410.6517334
321,None,Aue,GER,2,1406.07885742
322,None,Dresden,GER,2,1406.07885742
323,None,Wuerzburg,GER,2,1406.07885742
