,Rank,Club,Country,Level,Elo
103,None,Hertha,GER,2,1616.6126709
117,None,Koeln,GER,2,1600.04797363
121,None,St Pauli,GER,2,1595.31738281
132,None,Lautern,GER,2,1587.76733398
151,None,Muenchen 60,GER,2,1559.8079834
174,None,Paderborn,GER,2,1531.37805176
198,None,Duisburg,GER,2,1505.6192627
234,None,Bochum,GER,2,1484.86315918
235,None,Union Berlin,GER,2,1483.58666992
240,None,Dresden,GER,2,1478.20727539
246,None,Braunschweig,GER,2,1475.9967041
262,None,Ingolstadt,GER,2,1466.68713379
272,None,Cottbus,GER,2,1457.29199219
281,None,FSV Frankfurt,GER,2,1453.03173828
294,None,Aue,GER,2,1444.625
338,None,Aalen,GER,2,1399.12524414
339,None,Regensburg,GER,2,1399.12524414
340,None,Sandhausen,GER,2,1399.12524414
