,Rank,Club,Country,Level,Elo
121,None,Bochum,GER,2,1609.86621094
159,None,Rostock,GER,2,1563.0222168
163,None,Muenchen 60,GER,2,1557.96728516
208,None,Aachen,GER,2,1509.43164062
211,None,Fuerth,GER,2,1506.12084961
249,None,Aue,GER,2,1483.06640625
255,None,Freiburg,GER,2,1478.63525391
281,None,Karlsruhe,GER,2,1457.73718262
282,None,Burghausen,GER,2,1456.19165039
289,None,Dresden,GER,2,1448.73718262
304,None,Cottbus,GER,2,1437.67529297
314,None,Ahlen,GER,2,1430.58190918
344,None,Unterhaching,GER,2,1410.20056152
362,None,Saarbruecken,GER,2,1399.14245605
371,None,Siegen,GER,2,1388.55273438
372,None,Paderborn,GER,2,1388.55273438
373,None,Braunschweig,GER,2,1388.55273438
374,None,Offenbach,GER,2,1388.55273438
