,Rank,Club,Country,Level,Elo
116,None,Bochum,GER,2,1588.76196289
123,None,Duisburg,GER,2,1583.75915527
144,None,Meppen,GER,2,1556.68554688
151,None,Wolfsburg,GER,2,1551.72375488
152,None,Waldhof,GER,2,1551.23669434
172,None,Lok Leipzig,GER,2,1526.50927734
185,None,Wattenscheid,GER,2,1513.06091309
190,None,Nuernberg,GER,2,1510.94152832
205,None,Hannover,GER,2,1495.44177246
206,None,Chemnitz,GER,2,1494.07849121
208,None,Fortuna Koeln,GER,2,1492.98046875
223,None,Hertha,GER,2,1482.38305664
261,None,Mainz,GER,2,1458.4609375
278,None,Jena,GER,2,1447.94885254
279,None,Bielefeld,GER,2,1447.94885254
280,None,Luebeck,GER,2,1447.94885254
281,None,Unterhaching,GER,2,1447.94885254
314,None,Zwickau,GER,2,1426.17126465
