,Rank,Club,Country,Level,Elo
97,98,Hertha,GER,2,1627.7130127
149,None,Bochum,GER,2,1560.97631836
173,None,Augsburg,GER,2,1535.44970703
178,None,Cottbus,GER,2,1530.48181152
190,None,Duesseldorf,GER,2,1524.69543457
193,None,Bielefeld,GER,2,1524.12487793
195,None,Karlsruhe,GER,2,1521.01342773
199,None,Duisburg,GER,2,1517.38195801
213,None,Aachen,GER,2,1498.40014648
223,None,Fuerth,GER,2,1493.86584473
240,None,Paderborn,GER,2,1482.41870117
249,None,Muenchen 60,GER,2,1479.4909668
293,None,Union Berlin,GER,2,1451.16601562
299,None,FSV Frankfurt,GER,2,1444.52453613
327,None,Oberhausen,GER,2,1431.18884277
354,None,Osnabrueck,GER,2,1412.68688965
355,None,Ingolstadt,GER,2,1412.68688965
356,None,Aue,GER,2,1412.68688965
