,Rank,Club,Country,Level,Elo
95,96,Nuernberg,GER,2,1617.44580078
111,None,Wattenscheid,GER,2,1588.89819336
171,None,Hertha,GER,2,1528.01062012
175,None,St Pauli,GER,2,1523.69140625
182,None,Waldhof,GER,2,1518.83862305
204,None,Chemnitz,GER,2,1498.31774902
207,None,Lok Leipzig,GER,2,1495.24230957
213,None,Homburg,GER,2,1489.42248535
219,None,Hannover,GER,2,1487.54638672
226,None,Wolfsburg,GER,2,1483.81030273
231,None,Fortuna Koeln,GER,2,1477.52294922
232,None,Meppen,GER,2,1477.13769531
248,None,Saarbruecken,GER,2,1466.9152832
249,None,Rostock,GER,2,1466.25183105
263,None,Mainz,GER,2,1461.36340332
309,None,FSV Frankfurt,GER,2,1425.94482422
310,None,Duesseldorf,GER,2,1425.94482422
311,None,Zwickau,GER,2,1425.94482422
