,Rank,Club,Country,Level,Elo
109,None,Ingolstadt,GER,2,1590.82910156
132,None,Darmstadt,GER,2,1552.89648438
138,None,Union Berlin,GER,2,1545.80603027
150,None,Braunschweig,GER,2,1537.33886719
165,None,St Pauli,GER,2,1524.18981934
202,None,Nuernberg,GER,2,1492.78320312
224,None,Dresden,GER,2,1475.77282715
226,None,Bielefeld,GER,2,1474.05566406
238,None,Bochum,GER,2,1468.95129395
241,None,Heidenheim,GER,2,1467.77294922
245,None,Lautern,GER,2,1462.50146484
253,None,Fuerth,GER,2,1453.95800781
255,None,Sandhausen,GER,2,1451.84362793
272,None,Duesseldorf,GER,2,1438.52197266
285,None,Aue,GER,2,1430.53735352
324,None,Holstein,GER,2,1402.63049316
328,None,Duisburg,GER,2,1398.37866211
329,None,Regensburg,GER,2,1398.34460449
