,Rank,Club,Country,Level,Elo
99,100,Werder,GER,2,1597.79382324
130,None,Hamburg,GER,2,1553.24743652
132,None,Duesseldorf,GER,2,1550.77990723
157,None,Holstein,GER,2,1522.33666992
176,None,Karlsruhe,GER,2,1511.56958008
181,None,Schalke,GER,2,1504.64929199
185,None,Darmstadt,GER,2,1502.1550293
186,None,Paderborn,GER,2,1501.15478516
194,None,Heidenheim,GER,2,1495.06958008
222,None,St Pauli,GER,2,1467.7434082
224,None,Nuernberg,GER,2,1464.45983887
246,None,Hannover,GER,2,1451.30541992
252,None,Regensburg,GER,2,1447.67590332
271,None,Aue,GER,2,1435.41723633
299,None,Dresden,GER,2,1411.10913086
305,None,Rostock,GER,2,1408.99487305
328,None,Sandhausen,GER,2,1397.80603027
351,None,Ingolstadt,GER,2,1380.90087891
