,Rank,Club,Country,Level,Elo
3,4,Barcelona,ESP,1,1967.29516602
4,5,Real Madrid,ESP,1,1924.12243652
6,7,Atletico,ESP,1,1900.59448242
12,13,Sevilla,ESP,1,1829.91381836
19,20,Villarreal,ESP,1,1773.65966797
27,28,Getafe,ESP,1,1747.0982666
30,31,Sociedad,ESP,1,1742.5411377
33,34,Valencia,ESP,1,1736.0012207
38,39,Bilbao,ESP,1,1722.82141113
42,43,Granada,ESP,1,1716.82714844
45,46,Levante,ESP,1,1700.94824219
46,47,Osasuna,ESP,1,1698.04101562
49,50,Eibar,ESP,1,1686.83520508
55,56,Celta,ESP,1,1671.14038086
56,57,Betis,ESP,1,1668.77770996
57,58,Leganes,ESP,1,1665.91601562
62,63,Valladolid,ESP,1,1656.05456543
69,70,Alaves,ESP,1,1644.4588623
88,89,Espanyol,ESP,1,1610.46020508
93,94,Mallorca,ESP,1,1606.6763916
