,Rank,Club,Country,Level,Elo
5,6,Barcelona,ESP,1,1871.51257324
14,15,Real Madrid,ESP,1,1804.66833496
17,18,Valencia,ESP,1,1787.46606445
19,20,Espanyol,ESP,1,1781.73486328
20,21,Celta,ESP,1,1780.50109863
21,22,Mallorca,ESP,1,1779.2121582
22,23,Bilbao,ESP,1,1771.65979004
24,25,Depor,ESP,1,1768.33398438
28,29,Sociedad,ESP,1,1752.65148926
32,33,Zaragoza,ESP,1,1739.69812012
34,35,Atletico,ESP,1,1734.00805664
52,53,Valladolid,ESP,1,1691.49267578
53,54,Betis,ESP,1,1688.30712891
80,81,Santander,ESP,1,1644.41882324
81,82,Oviedo,ESP,1,1641.93774414
107,None,Alaves,ESP,1,1622.96691895
134,None,Sevilla,ESP,1,1583.22314453
136,None,Malaga,ESP,1,1581.43237305
159,None,Rayo Vallecano,ESP,1,1560.98901367
165,None,Numancia,ESP,1,1551.61584473
