,Rank,Club,Country,Level,Elo
2,3,Barcelona,ESP,1,1866.69177246
7,8,Real Madrid,ESP,1,1832.55444336
19,20,Depor,ESP,1,1763.73950195
20,21,Betis,ESP,1,1757.13037109
30,31,Atletico,ESP,1,1737.64099121
39,40,Valencia,ESP,1,1711.18737793
41,42,Bilbao,ESP,1,1710.02282715
43,44,Valladolid,ESP,1,1705.20129395
46,47,Tenerife,ESP,1,1699.62658691
51,52,Sociedad,ESP,1,1694.74963379
64,65,Espanyol,ESP,1,1664.6270752
66,67,Compostela,ESP,1,1661.50366211
69,70,Zaragoza,ESP,1,1655.45385742
71,72,Celta,ESP,1,1650.27258301
93,94,Gijon,ESP,1,1623.70129395
94,95,Santander,ESP,1,1621.38977051
100,None,Oviedo,ESP,1,1611.48059082
101,None,Salamanca,ESP,1,1611.39367676
141,None,Merida,ESP,1,1573.01782227
146,None,Mallorca,ESP,1,1570.4083252
