,Rank,Club,Country,Level,Elo
2,3,Bayern,GER,1,1889.12341309
13,14,Leverkusen,GER,1,1805.77502441
25,26,Hertha,GER,1,1761.3494873
27,28,Dortmund,GER,1,1760.4486084
33,34,Lautern,GER,1,1734.84338379
44,45,Duisburg,GER,1,1710.31896973
46,47,Hamburg,GER,1,1706.92712402
54,55,Wolfsburg,GER,1,1686.57861328
55,56,Rostock,GER,1,1684.99316406
57,58,Stuttgart,GER,1,1677.20739746
62,63,Schalke,GER,1,1671.45837402
63,64,Werder,GER,1,1667.97570801
75,76,Bielefeld,GER,1,1653.97900391
85,86,Frankfurt,GER,1,1637.1472168
98,99,Muenchen 60,GER,1,1627.81005859
103,None,Freiburg,GER,1,1626.2052002
135,None,Unterhaching,GER,1,1582.83105469
180,None,Ulm,GER,1,1540.96643066
