,Rank,Club,Country,Level,Elo
16,17,Werder,GER,1,1806.00744629
22,23,Bayern,GER,1,1785.39550781
27,28,Stuttgart,GER,1,1765.92236328
28,29,Schalke,GER,1,1765.56921387
53,54,Leverkusen,GER,1,1706.22229004
55,56,Hamburg,GER,1,1699.50427246
64,65,Nuernberg,GER,1,1671.50305176
66,67,Dortmund,GER,1,1667.19250488
73,74,Bochum,GER,1,1660.0189209
95,96,Hertha,GER,1,1628.49707031
103,None,Hannover,GER,1,1616.49499512
123,None,Frankfurt,GER,1,1601.8170166
128,None,Bielefeld,GER,1,1599.81896973
147,None,Wolfsburg,GER,1,1584.02624512
157,None,Cottbus,GER,1,1567.78088379
169,None,Karlsruhe,GER,1,1553.24230957
173,None,Duisburg,GER,1,1550.38134766
209,None,Rostock,GER,1,1512.8236084
