,Rank,Club,Country,Level,Elo
1,2,Bayern,GER,1,2038.06408691
6,7,Dortmund,GER,1,1912.4744873
17,18,Schalke,GER,1,1806.82592773
21,22,Leverkusen,GER,1,1786.29919434
25,26,Wolfsburg,GER,1,1766.70788574
29,30,Gladbach,GER,1,1748.22705078
39,40,Mainz,GER,1,1712.30053711
43,44,Augsburg,GER,1,1702.85473633
49,50,Hoffenheim,GER,1,1689.33227539
61,62,Hannover,GER,1,1675.52490234
70,71,Freiburg,GER,1,1661.84484863
71,72,Frankfurt,GER,1,1657.80725098
74,75,Hertha,GER,1,1649.09851074
80,81,Werder,GER,1,1640.87512207
86,87,Stuttgart,GER,1,1628.07202148
91,92,Koeln,GER,1,1617.73510742
95,96,Hamburg,GER,1,1610.36572266
136,None,Paderborn,GER,1,1561.69689941
