,Rank,Club,Country,Level,Elo
7,8,Dortmund,GER,1,1822.21838379
11,12,Bayern,GER,1,1805.03259277
22,23,Schalke,GER,1,1736.29003906
25,26,Karlsruhe,GER,1,1731.24328613
29,30,Gladbach,GER,1,1722.68798828
31,32,Werder,GER,1,1722.41125488
44,45,Hamburg,GER,1,1694.92077637
49,50,Koeln,GER,1,1685.59619141
53,54,Muenchen 60,GER,1,1682.34875488
55,56,Freiburg,GER,1,1677.09606934
57,58,Leverkusen,GER,1,1675.41650391
70,71,Rostock,GER,1,1660.97607422
71,72,Stuttgart,GER,1,1660.29882812
83,84,Duesseldorf,GER,1,1634.85620117
86,87,Bochum,GER,1,1629.15026855
94,95,St Pauli,GER,1,1613.59729004
147,None,Duisburg,GER,1,1562.52258301
186,None,Bielefeld,GER,1,1519.7208252
