,Rank,Club,Country,Level,Elo
15,16,Bayern,GER,1,1815.98571777
21,22,Schalke,GER,1,1777.34753418
22,23,Werder,GER,1,1777.02099609
48,49,Hamburg,GER,1,1712.62402344
56,57,Leverkusen,GER,1,1691.86328125
59,60,Stuttgart,GER,1,1685.27038574
64,65,Wolfsburg,GER,1,1676.48986816
82,83,Hannover,GER,1,1645.1763916
90,91,Hertha,GER,1,1631.18762207
95,96,Bochum,GER,1,1623.48303223
103,None,Dortmund,GER,1,1617.26623535
109,None,Frankfurt,GER,1,1613.78869629
138,None,Gladbach,GER,1,1587.49523926
140,None,Cottbus,GER,1,1581.7109375
145,None,Bielefeld,GER,1,1576.42260742
155,None,Karlsruhe,GER,1,1569.34643555
186,None,Koeln,GER,1,1535.20275879
220,None,Hoffenheim,GER,1,1511.61645508
