,Rank,Club,Country,Level,Elo
2,3,Bayern,GER,1,1980.49816895
13,14,Wolfsburg,GER,1,1822.31750488
14,15,Leverkusen,GER,1,1819.37060547
15,16,Gladbach,GER,1,1815.60974121
18,19,Dortmund,GER,1,1790.78491211
37,38,Schalke,GER,1,1717.8092041
47,48,Augsburg,GER,1,1697.19787598
54,55,Mainz,GER,1,1679.16101074
56,57,Hoffenheim,GER,1,1672.00085449
61,62,Frankfurt,GER,1,1668.01757812
74,75,Werder,GER,1,1655.40307617
75,76,Koeln,GER,1,1653.34875488
80,81,Hannover,GER,1,1642.36572266
85,86,Stuttgart,GER,1,1629.43249512
91,92,Hamburg,GER,1,1618.85510254
92,93,Hertha,GER,1,1618.07177734
156,None,Ingolstadt,GER,1,1540.3059082
196,None,Darmstadt,GER,1,1504.44824219
