,Rank,Club,Country,Level,Elo
1,2,Bayern,GER,1,1870.39477539
3,4,Dortmund,GER,1,1862.18408203
11,12,Leverkusen,GER,1,1802.49719238
15,16,Stuttgart,GER,1,1779.2154541
26,27,Karlsruhe,GER,1,1744.7010498
27,28,Schalke,GER,1,1742.77856445
31,32,Gladbach,GER,1,1735.13208008
33,34,Werder,GER,1,1731.33093262
35,36,Muenchen 60,GER,1,1724.40466309
38,39,Bochum,GER,1,1717.79577637
40,41,Lautern,GER,1,1710.64013672
48,49,Koeln,GER,1,1698.91625977
54,55,Hamburg,GER,1,1689.73193359
57,58,Rostock,GER,1,1687.09277344
58,59,Duisburg,GER,1,1684.26550293
81,82,Bielefeld,GER,1,1632.91247559
83,84,Wolfsburg,GER,1,1631.30151367
140,None,Hertha,GER,1,1574.55871582
