,Rank,Club,Country,Level,Elo
2,3,Bayern,GER,1,2010.39794922
6,7,Dortmund,GER,1,1865.22607422
15,16,Leverkusen,GER,1,1805.92480469
22,23,Gladbach,GER,1,1783.36083984
32,33,Wolfsburg,GER,1,1728.71118164
36,37,Schalke,GER,1,1718.37121582
42,43,Mainz,GER,1,1704.0682373
56,57,Koeln,GER,1,1672.89428711
62,63,Hertha,GER,1,1666.15075684
66,67,Augsburg,GER,1,1658.1496582
70,71,Werder,GER,1,1655.37670898
73,74,Freiburg,GER,1,1651.73986816
76,77,Hamburg,GER,1,1648.79516602
79,80,Hoffenheim,GER,1,1644.56176758
83,84,Frankfurt,GER,1,1637.94189453
101,None,Ingolstadt,GER,1,1602.60803223
119,None,Darmstadt,GER,1,1579.39172363
150,None,RB Leipzig,GER,1,1546.97033691
