,Rank,Club,Country,Level,Elo
14,15,Bayern,GER,1,1801.26049805
26,27,Werder,GER,1,1765.5970459
30,31,Stuttgart,GER,1,1755.1505127
34,35,Leverkusen,GER,1,1746.87805176
50,51,Dortmund,GER,1,1709.16442871
60,61,Bochum,GER,1,1687.59790039
71,72,Schalke,GER,1,1670.82727051
88,89,Hamburg,GER,1,1640.16662598
96,97,Hertha,GER,1,1627.68725586
102,None,Rostock,GER,1,1622.00292969
108,None,Wolfsburg,GER,1,1610.59094238
113,None,Gladbach,GER,1,1606.31616211
127,None,Hannover,GER,1,1590.97351074
137,None,Lautern,GER,1,1577.14733887
151,None,Freiburg,GER,1,1562.77783203
174,None,Nuernberg,GER,1,1545.96032715
178,None,Mainz,GER,1,1543.75036621
183,None,Bielefeld,GER,1,1537.49963379
