,Rank,Club,Country,Level,Elo
4,5,Bayern,GER,1,1873.25622559
28,29,Schalke,GER,1,1757.04492188
30,31,Leverkusen,GER,1,1752.66467285
32,33,Dortmund,GER,1,1742.59118652
35,36,Freiburg,GER,1,1735.23620605
45,46,Werder,GER,1,1714.64819336
48,49,Lautern,GER,1,1704.86804199
57,58,Wolfsburg,GER,1,1697.59057617
59,60,Hertha,GER,1,1694.00427246
67,68,Hamburg,GER,1,1676.48376465
72,73,Koeln,GER,1,1668.15441895
75,76,Stuttgart,GER,1,1659.00512695
93,94,Gladbach,GER,1,1645.92834473
99,100,Rostock,GER,1,1638.65002441
102,None,Muenchen 60,GER,1,1632.28613281
123,None,Cottbus,GER,1,1609.93200684
131,None,Nuernberg,GER,1,1598.68286133
145,None,St Pauli,GER,1,1572.77966309
