,Rank,Club,Country,Level,Elo
4,5,Bayern,GER,1,1948.01062012
24,25,Dortmund,GER,1,1742.44689941
26,27,Schalke,GER,1,1740.22094727
39,40,Hoffenheim,GER,1,1715.92712402
41,42,Leverkusen,GER,1,1709.62609863
48,49,RB Leipzig,GER,1,1693.57592773
60,61,Gladbach,GER,1,1664.18603516
62,63,Stuttgart,GER,1,1663.63342285
65,66,Werder,GER,1,1658.63757324
76,77,Frankfurt,GER,1,1631.79748535
86,87,Augsburg,GER,1,1618.60314941
89,90,Hertha,GER,1,1613.36132812
93,94,Wolfsburg,GER,1,1604.25537109
95,96,Mainz,GER,1,1600.39111328
112,None,Hannover,GER,1,1580.00073242
115,None,Freiburg,GER,1,1577.22009277
175,None,Nuernberg,GER,1,1504.30273438
207,None,Duesseldorf,GER,1,1475.76477051
