,Rank,Club,Country,Level,Elo
7,8,Bayern,GER,1,1865.66394043
16,17,Werder,GER,1,1769.75512695
20,21,Leverkusen,GER,1,1752.36767578
32,33,Hertha,GER,1,1725.70629883
36,37,Dortmund,GER,1,1721.65966797
39,40,Stuttgart,GER,1,1713.8782959
48,49,Schalke,GER,1,1702.18554688
77,78,Hamburg,GER,1,1662.43164062
102,None,Wolfsburg,GER,1,1627.69274902
110,None,Hannover,GER,1,1619.87780762
128,None,Gladbach,GER,1,1600.05371094
129,None,Mainz,GER,1,1599.58728027
132,None,Lautern,GER,1,1596.83483887
136,None,Frankfurt,GER,1,1587.65576172
147,None,Nuernberg,GER,1,1576.18322754
149,None,Koeln,GER,1,1574.26147461
153,None,Bielefeld,GER,1,1565.40380859
200,None,Duisburg,GER,1,1514.26623535
