,Rank,Club,Country,Level,Elo
2,3,Bayern,GER,1,1893.61682129
9,10,Leverkusen,GER,1,1859.08093262
11,12,Dortmund,GER,1,1842.20568848
14,15,Schalke,GER,1,1785.36462402
17,18,Hertha,GER,1,1780.15441895
26,27,Werder,GER,1,1762.4519043
39,40,Stuttgart,GER,1,1722.50878906
40,41,Wolfsburg,GER,1,1721.11999512
42,43,Lautern,GER,1,1719.24401855
45,46,Muenchen 60,GER,1,1711.94873047
56,57,Hamburg,GER,1,1690.29089355
65,66,Hannover,GER,1,1677.03662109
86,87,Gladbach,GER,1,1650.00305176
90,91,Bielefeld,GER,1,1644.54040527
106,None,Bochum,GER,1,1631.5078125
111,None,Rostock,GER,1,1621.18371582
114,None,Cottbus,GER,1,1616.5546875
116,None,Nuernberg,GER,1,1613.81848145
