,Rank,Club,Country,Level,Elo
0,1,Bayern,GER,1,2017.63415527
9,10,RB Leipzig,GER,1,1849.79077148
11,12,Dortmund,GER,1,1839.19519043
17,18,Leverkusen,GER,1,1799.99572754
22,23,Gladbach,GER,1,1764.94067383
34,35,Hoffenheim,GER,1,1734.72058105
39,40,Wolfsburg,GER,1,1722.79223633
43,44,Frankfurt,GER,1,1710.3885498
59,60,Freiburg,GER,1,1665.37683105
61,62,Mainz,GER,1,1657.33044434
65,66,Hertha,GER,1,1653.32849121
74,75,Werder,GER,1,1637.45678711
86,87,Schalke,GER,1,1612.87634277
89,90,Augsburg,GER,1,1610.11230469
94,95,Koeln,GER,1,1605.32397461
95,96,Union Berlin,GER,1,1604.99182129
100,None,Bielefeld,GER,1,1599.47692871
127,None,Stuttgart,GER,1,1570.84143066
