,Rank,Club,Country,Level,Elo
2,3,Bayern,GER,1,1928.24389648
4,5,Dortmund,GER,1,1914.00622559
13,14,Schalke,GER,1,1803.09094238
20,21,Leverkusen,GER,1,1774.90563965
22,23,Stuttgart,GER,1,1772.09228516
24,25,Gladbach,GER,1,1764.29870605
37,38,Hannover,GER,1,1724.40625
52,53,Mainz,GER,1,1696.05310059
55,56,Wolfsburg,GER,1,1693.31335449
59,60,Nuernberg,GER,1,1684.25280762
61,62,Werder,GER,1,1679.33898926
62,63,Hoffenheim,GER,1,1677.90112305
63,64,Freiburg,GER,1,1677.05419922
72,73,Augsburg,GER,1,1662.7923584
78,79,Hamburg,GER,1,1654.81237793
86,87,Fuerth,GER,1,1648.64819336
94,95,Frankfurt,GER,1,1628.87524414
105,None,Duesseldorf,GER,1,1612.5456543
