,Rank,Club,Country,Level,Elo
10,11,Dortmund,GER,1,1818.84899902
12,13,Lautern,GER,1,1796.73864746
15,16,Werder,GER,1,1787.3605957
16,17,Bayern,GER,1,1777.63745117
18,19,Gladbach,GER,1,1770.04138184
24,25,Freiburg,GER,1,1756.36877441
26,27,Leverkusen,GER,1,1745.875
39,40,Karlsruhe,GER,1,1716.4296875
44,45,Frankfurt,GER,1,1705.00805664
50,51,Koeln,GER,1,1688.0567627
63,64,Stuttgart,GER,1,1657.31616211
68,69,Schalke,GER,1,1654.0189209
83,84,Hamburg,GER,1,1634.26403809
101,None,Rostock,GER,1,1604.64660645
102,None,Muenchen 60,GER,1,1604.29760742
104,None,Uerdingen,GER,1,1602.46887207
119,None,St Pauli,GER,1,1586.89416504
153,None,Duesseldorf,GER,1,1549.72375488
