,Club,Elo
0,Leicester,1595.20703125
1,Leeds,1595.0291748
2,Wolves,1567.3013916
3,West Ham,1566.87878418
4,Sunderland,1511.5612793
5,Ipswich,1500.38427734
6,Forest,1480.65063477
7,Sheffield United,1480.2911377
8,Millwall,1480.26879883
9,Coventry,1474.37182617
10,Reading,1473.73181152
11,Wigan,1473.64709473
12,Stoke,1465.62976074
13,Cardiff,1447.15429688
14,Preston,1426.83215332
15,Rotherham,1426.51342773
16,Watford,1421.19287109
17,Derby,1416.66308594
18,Crewe,1398.84326172
19,Burnley,1396.61071777
20,Plymouth Argyle,1389.54345703
21,QPR,1389.54345703
22,Brighton,1389.54345703
23,Gillingham,1386.47766113
