,Club,Elo
0,Burnley,1573.47888184
1,Hull,1567.24609375
2,Middlesbrough,1557.73254395
3,QPR,1540.22436523
4,Derby,1525.23828125
5,Ipswich,1510.77331543
6,Wolves,1509.62658691
7,Blackburn,1507.27758789
8,Brentford,1484.84851074
9,Cardiff,1464.43200684
10,Birmingham,1453.08569336
11,Sheffield Weds,1446.5526123
12,Forest,1440.59326172
13,Charlton,1439.82177734
14,Bolton,1432.91723633
15,Fulham,1432.43994141
16,Brighton,1430.72949219
17,Leeds,1420.62463379
18,Huddersfield,1417.15795898
19,Reading,1410.74719238
20,Rotherham,1390.74475098
21,Bristol City,1363.66418457
22,MK Dons,1363.66418457
23,Preston,1363.66418457
