,Club,Elo
0,Leeds,1633.65844727
1,Brentford,1620.73547363
2,West Brom,1602.8248291
3,Fulham,1591.8416748
4,Cardiff,1563.78222656
5,Swansea,1537.81140137
6,Derby,1522.4654541
7,Millwall,1509.23876953
8,Wigan,1508.19641113
9,Stoke,1506.47033691
10,Forest,1501.24279785
11,Preston,1497.03125
12,Blackburn,1489.03137207
13,Bristol City,1477.09777832
14,Middlesbrough,1473.05053711
15,Reading,1464.78125
16,QPR,1453.31616211
17,Huddersfield,1449.83251953
18,Sheffield Weds,1448.75256348
19,Barnsley,1442.79199219
20,Luton,1427.04919434
21,Birmingham,1415.38977051
22,Charlton,1407.35217285
23,Hull,1386.0369873
