,Club,Elo
0,West Ham,1656.92626953
1,Ipswich,1552.83752441
2,West Brom,1523.92199707
3,Sheffield United,1518.76806641
4,Forest,1507.12805176
5,Wimbledon,1496.30932617
6,Reading,1494.02062988
7,Sunderland,1492.43334961
8,Norwich,1488.3013916
9,Millwall,1474.84594727
10,Preston,1470.12536621
11,Crystal Palace,1456.2232666
12,Gillingham,1438.79541016
13,Rotherham,1430.69580078
14,Watford,1420.80371094
15,Derby,1418.3927002
16,Walsall,1413.57592773
17,Stoke,1405.6595459
18,Bradford,1404.03442383
19,Burnley,1391.6171875
20,Coventry,1390.20288086
21,Cardiff,1373.26013184
22,Crewe,1373.26013184
23,Wigan,1373.26013184
