,Club,Elo
0,Portsmouth,1594.66186523
1,Hull,1550.80859375
2,Burnley,1544.05493164
3,Sheffield United,1536.85546875
4,Leicester,1529.88098145
5,Middlesbrough,1529.11047363
6,Cardiff,1527.19445801
7,Reading,1526.57019043
8,Forest,1524.50756836
9,Swansea,1507.98034668
10,Doncaster,1485.31164551
11,Bristol City,1480.68701172
12,Ipswich,1479.73010254
13,Crystal Palace,1467.59204102
14,QPR,1462.31567383
15,Watford,1459.8581543
16,Derby,1459.27844238
17,Preston,1444.50732422
18,Barnsley,1432.15576172
19,Scunthorpe,1421.71911621
20,Coventry,1418.48486328
21,Norwich,1414.28295898
22,Leeds,1414.28295898
23,Millwall,1414.28295898
