,Club,Elo
0,Sheffield Weds,1604.18322754
1,Bolton,1574.41064453
2,Barnsley,1562.94091797
3,Wolves,1561.43823242
4,Birmingham,1560.74890137
5,Wimbledon,1556.66870117
6,Blackburn,1527.01647949
7,Forest,1512.08984375
8,QPR,1509.88171387
9,Watford,1503.84411621
10,Huddersfield,1495.80664062
11,Fulham,1487.33300781
12,Norwich,1464.66760254
13,Sheffield United,1462.71789551
14,Crystal Palace,1461.19799805
15,Tranmere,1457.90234375
16,Portsmouth,1439.72900391
17,West Brom,1437.81713867
18,Stockport,1436.37658691
19,Crewe,1426.44921875
20,Burnley,1416.37768555
21,Gillingham,1416.37768555
22,Preston,1416.37768555
23,Grimsby,1415.65087891
