,Club,Elo
0,Bolton,1613.65637207
1,Blackburn,1603.80749512
2,Birmingham,1592.74047852
3,Blackpool,1584.21691895
4,Wolves,1549.51550293
5,Cardiff,1523.99902344
6,Leicester,1517.6953125
7,Millwall,1502.73278809
8,Hull,1499.15942383
9,Middlesbrough,1496.76391602
10,Watford,1492.69165039
11,Burnley,1488.95739746
12,Ipswich,1471.63354492
13,Forest,1469.94848633
14,Brighton,1467.90246582
15,Leeds,1460.39587402
16,Derby,1451.09375
17,Bristol City,1438.30969238
18,Crystal Palace,1432.35095215
19,Peterboro,1403.50720215
20,Charlton,1386.95666504
21,Huddersfield,1386.95666504
22,Sheffield Weds,1386.95666504
23,Barnsley,1381.19519043
