,Club,Elo
0,Sheffield United,1649.36608887
1,Oldham,1606.07080078
2,Swindon,1538.08276367
3,Middlesbrough,1536.06616211
4,Derby,1532.02111816
5,Tranmere,1520.19628906
6,Wolves,1517.46350098
7,Millwall,1514.9074707
8,Notts County,1499.60437012
9,Sunderland,1489.08886719
10,Portsmouth,1487.57409668
11,Grimsby,1487.04724121
12,Bristol City,1477.63757324
13,Stoke,1474.93676758
14,Charlton,1463.7800293
15,Barnsley,1462.71801758
16,Watford,1458.43676758
17,Luton,1456.9309082
18,Bolton,1454.1652832
19,Southend,1437.77807617
20,West Brom,1432.74511719
21,Reading,1417.66821289
22,Burnley,1417.66821289
23,Port Vale,1417.66821289
