,Club,Elo
0,Southampton,1636.91589355
1,Crystal Palace,1603.79443359
2,Norwich,1602.24194336
3,Wolves,1577.23010254
4,Ipswich,1560.49084473
5,Preston,1539.95202637
6,Leicester,1526.39294434
7,Derby,1510.83740234
8,Leeds,1509.9239502
9,Millwall,1502.96740723
10,Reading,1502.18432617
11,Sheffield United,1499.67724609
12,Cardiff,1481.59057617
13,Stoke,1468.69128418
14,Coventry,1462.57067871
15,Burnley,1459.96105957
16,QPR,1458.47949219
17,Plymouth Argyle,1431.30493164
18,Watford,1428.87890625
19,Crewe,1408.60632324
20,Brighton,1406.49108887
21,Hull,1380.82714844
22,Luton,1380.82714844
23,Sheffield Weds,1380.82714844
