,Club,Elo
0,Fulham,1627.00708008
1,Sheffield United,1623.86804199
2,West Brom,1618.41918945
3,Bournemouth,1607.37670898
4,Swansea,1570.54589844
5,Cardiff,1568.33129883
6,Barnsley,1546.41357422
7,QPR,1535.19177246
8,Reading,1522.81799316
9,Preston,1513.60388184
10,Blackburn,1511.59265137
11,Millwall,1503.40344238
12,Stoke,1499.8692627
13,Middlesbrough,1496.03320312
14,Forest,1493.89733887
15,Luton,1483.40527344
16,Coventry,1470.67944336
17,Huddersfield,1453.76342773
18,Derby,1444.27807617
19,Blackpool,1443.22253418
20,Peterboro,1443.22253418
21,Hull,1443.22253418
22,Birmingham,1439.31982422
23,Bristol City,1417.58898926
