,Club,Country,Level,Elo
91,Crystal Palace,ENG,2,1618.51647949
125,Forest,ENG,2,1574.88623047
157,Portsmouth,ENG,2,1547.78649902
163,Middlesbrough,ENG,2,1539.94909668
201,Leicester,ENG,2,1502.96289062
225,Derby,ENG,2,1489.33178711
230,Tranmere,ENG,2,1485.37365723
257,Luton,ENG,2,1458.24804688
267,Notts County,ENG,2,1446.53845215
269,Millwall,ENG,2,1444.30688477
275,Charlton,ENG,2,1441.42260742
289,Wolves,ENG,2,1428.74316406
291,Barnsley,ENG,2,1428.24194336
300,Grimsby,ENG,2,1420.70336914
301,Peterboro,ENG,2,1420.37207031
302,Oxford,ENG,2,1420.36547852
309,Southend,ENG,2,1412.35827637
311,Watford,ENG,2,1409.65026855
313,Bristol City,ENG,2,1409.19799805
338,Sunderland,ENG,2,1392.35046387
357,Birmingham,ENG,2,1383.82348633
379,West Brom,ENG,2,1373.59082031
380,Bolton,ENG,2,1373.59082031
381,Stoke,ENG,2,1373.59082031
