,Club,Elo
0,Reading,1678.11108398
1,Birmingham,1668.01513672
2,Sheffield United,1591.85717773
3,Crystal Palace,1589.35510254
4,Wolves,1578.20373535
5,Charlton,1560.16125488
6,Ipswich,1557.89086914
7,Bristol City,1543.48413086
8,Cardiff,1543.05395508
9,Sheffield Weds,1539.71850586
10,Plymouth Argyle,1538.67114258
11,Watford,1534.18078613
12,Preston,1533.94812012
13,QPR,1517.90441895
14,Southampton,1513.30419922
15,Derby,1504.55285645
16,Burnley,1500.88623047
17,Norwich,1495.45019531
18,Blackpool,1483.07397461
19,Coventry,1479.74194336
20,Barnsley,1474.81005859
21,Swansea,1435.39025879
22,Doncaster,1435.39025879
23,Forest,1435.39025879
