,Club,Elo
0,Birmingham,1631.63439941
1,West Brom,1587.50231934
2,Preston,1584.35803223
3,Leeds,1556.73413086
4,Crystal Palace,1551.38598633
5,Wolves,1530.55310059
6,Southampton,1523.97375488
7,Sunderland,1521.25231934
8,Norwich,1506.7043457
9,Coventry,1495.96289062
10,Leicester,1482.66589355
11,Ipswich,1465.87683105
12,Plymouth Argyle,1460.39538574
13,Stoke,1460.38293457
14,Cardiff,1458.9432373
15,Derby,1450.65588379
16,Luton,1450.41394043
17,Hull,1441.86987305
18,Sheffield Weds,1441.03979492
19,Burnley,1438.53356934
20,QPR,1410.63598633
21,Colchester,1398.24230957
22,Barnsley,1398.24230957
23,Southend,1398.24230957
