,Club,Elo
0,Crystal Palace,1618.51647949
1,Forest,1574.88623047
2,Portsmouth,1547.78649902
3,Middlesbrough,1539.94909668
4,Leicester,1502.96289062
5,Derby,1489.33178711
6,Tranmere,1485.37365723
7,Luton,1458.24804688
8,Notts County,1446.53845215
9,Millwall,1444.30688477
10,Charlton,1441.42260742
11,Wolves,1428.74316406
12,Barnsley,1428.24194336
13,Grimsby,1420.70336914
14,Peterboro,1420.37207031
15,Oxford,1420.36547852
16,Southend,1412.35827637
17,Watford,1409.65026855
18,Bristol City,1409.19799805
19,Sunderland,1392.35046387
20,Birmingham,1383.82348633
21,West Brom,1373.59082031
22,Bolton,1373.59082031
23,Stoke,1373.59082031
