,Club,Elo
0,Birmingham,1623.68273926
1,West Ham,1607.85876465
2,Blackpool,1589.08654785
3,Reading,1581.71533203
4,Cardiff,1530.92834473
5,Forest,1530.37426758
6,Middlesbrough,1521.08203125
7,Leicester,1517.48522949
8,Hull,1510.16430664
9,Burnley,1502.55480957
10,Leeds,1498.65075684
11,Millwall,1491.75695801
12,Portsmouth,1483.32409668
13,Bristol City,1480.49365234
14,Ipswich,1458.97436523
15,Watford,1457.56420898
16,Coventry,1441.87438965
17,Barnsley,1438.76464844
18,Crystal Palace,1416.03051758
19,Derby,1399.69470215
20,Doncaster,1396.27648926
21,Peterboro,1388.2791748
22,Brighton,1388.2791748
23,Southampton,1388.2791748
