,Club,Elo
0,Blackburn,1598.3605957
1,Ipswich,1580.92004395
2,Charlton,1573.09191895
3,Birmingham,1571.10803223
4,Forest,1562.93054199
5,Bolton,1542.7220459
6,Wolves,1524.80871582
7,Sheffield United,1496.57824707
8,Barnsley,1482.71594238
9,Tranmere,1466.52770996
10,Norwich,1452.46276855
11,Crystal Palace,1450.41394043
12,Huddersfield,1432.89575195
13,Crewe,1427.84411621
14,West Brom,1422.95361328
15,Stockport,1418.18652344
16,QPR,1415.81054688
17,Grimsby,1405.28588867
18,Portsmouth,1395.81420898
19,Fulham,1392.35620117
20,Walsall,1392.35620117
21,Man City,1392.35620117
22,Port Vale,1386.03137207
23,Swindon,1375.890625
