,Club,Elo
0,Coventry,1604.33898926
1,Man City,1586.88806152
2,Wimbledon,1562.08813477
3,Bradford,1555.47912598
4,Birmingham,1544.12634277
5,Preston,1540.82641602
6,Sheffield United,1501.87207031
7,West Brom,1497.2779541
8,Sheffield Weds,1492.18395996
9,Wolves,1491.6607666
10,Watford,1491.16516113
11,Forest,1491.04589844
12,Burnley,1489.68432617
13,Stockport,1476.73010254
14,Barnsley,1463.15332031
15,Gillingham,1458.25146484
16,Norwich,1453.0090332
17,Crewe,1452.35925293
18,Crystal Palace,1442.11279297
19,Portsmouth,1431.49645996
20,Grimsby,1427.40930176
21,Walsall,1398.09924316
22,Millwall,1398.09924316
23,Rotherham,1398.09924316
