,Club,Elo
0,Wigan,1624.94543457
1,Reading,1568.42199707
2,QPR,1553.95141602
3,Bolton,1549.45776367
4,Watford,1541.56262207
5,Brighton,1531.30883789
6,Birmingham,1507.95214844
7,Leicester,1497.97302246
8,Blackpool,1493.40893555
9,Blackburn,1484.77307129
10,Forest,1484.19091797
11,Ipswich,1483.25085449
12,Burnley,1481.63916016
13,Charlton,1477.6340332
14,Derby,1467.43481445
15,Leeds,1446.96838379
16,Sheffield Weds,1446.04016113
17,Barnsley,1432.59838867
18,Huddersfield,1427.07397461
19,Millwall,1423.73388672
20,Middlesbrough,1419.02209473
21,Doncaster,1386.6262207
22,Bournemouth,1386.6262207
23,Yeovil,1386.6262207
