,Club,Elo
0,Hull,1569.64831543
1,Middlesbrough,1561.92126465
2,Sunderland,1559.15625
3,Fulham,1542.90661621
4,Norwich,1534.25024414
5,Sheffield Weds,1531.11450195
6,Reading,1523.8125
7,Leeds,1510.22338867
8,Derby,1499.6348877
9,Brentford,1496.53881836
10,Cardiff,1485.20361328
11,Aston Villa,1473.04016113
12,Preston,1459.53808594
13,Wolves,1452.32775879
14,Ipswich,1440.38525391
15,Bristol City,1429.87268066
16,QPR,1428.45202637
17,Forest,1425.64196777
18,Barnsley,1418.32568359
19,Birmingham,1403.53771973
20,Burton,1399.13269043
21,Bolton,1351.94885254
22,Millwall,1351.94885254
23,Sheffield United,1351.94885254
