,DATE,COUNTRY,YEAR,HFA
0,2005-07-22,ENG,2005,70.5
1,2006-07-22,ENG,2006,76.0
2,2007-07-22,ENG,2007,71.9
3,2008-07-22,ENG,2008,73.0
4,2009-07-22,ENG,2009,67.6
5,2010-07-22,ENG,2010,89.3
6,2005-07-22,GER,2005,83.0
7,2006-07-22,GER,2006,73.5
8,2007-07-22,GER,2007,56.1
9,2008-07-22,GER,2008,79.0
10,2009-07-22,GER,2009,81.9
11,2010-07-22,GER,2010,66.8
12,2005-07-22,ESP,2005,55.9
13,2006-07-22,ESP,2006,66.2
14,2007-07-22,ESP,2007,62.2
15,2008-07-22,ESP,2008,71.4
16,2009-07-22,ESP,2009,75.4
17,2010-07-22,ESP,2010,84.6
18,2005-07-22,ITA,2005,88.1
19,2006-07-22,ITA,2006,86.6
20,2007-07-22,ITA,2007,82.1
21,2008-07-22,ITA,2008,82.4
22,2009-07-22,ITA,2009,84.3
23,2010-07-22,ITA,2010,73.4
