,DATE,COUNTRY,YEAR,HFA
0,1993-07-22,ENG,1993,95.3
1,1994-07-22,ENG,1994,75.4
2,1995-07-22,ENG,1995,91.6
3,1996-07-22,ENG,1996,76.0
4,1997-07-22,ENG,1997,83.5
5,1998-07-22,ENG,1998,82.9
6,1999-07-22,ENG,1999,75.6
7,2000-07-22,ENG,2000,82.8
8,2001-07-22,ENG,2001,70.3
9,2002-07-22,ENG,2002,67.0
10,2003-07-22,ENG,2003,68.9
11,2004-07-22,ENG,2004,69.1
12,1993-07-22,GER,1993,115.4
13,1994-07-22,GER,1994,104.1
14,1995-07-22,GER,1995,99.0
15,1996-07-22,GER,1996,89.7
16,1997-07-22,GER,1997,103.0
17,1998-07-22,GER,1998,72.2
18,1999-07-22,GER,1999,84.7
19,2000-07-22,GER,2000,90.4
20,2001-07-22,GER,2001,92.6
21,2002-07-22,GER,2002,97.8
22,2003-07-22,GER,2003,81.9
23,2004-07-22,GER,2004,97.5
24,1993-07-22,ESP,1993,98.6
25,1994-07-22,ESP,1994,102.9
26,1995-07-22,ESP,1995,90.5
27,1996-07-22,ESP,1996,65.1
28,1997-07-22,ESP,1997,86.3
29,1998-07-22,ESP,1998,90.9
30,1999-07-22,ESP,1999,87.5
31,2000-07-22,ESP,2000,78.3
32,2001-07-22,ESP,2001,89.1
33,2002-07-22,ESP,2002,69.3
34,2003-07-22,ESP,2003,62.6
35,2004-07-22,ESP,2004,65.1
36,1993-07-22,ITA,1993,107.7
37,1994-07-22,ITA,1994,114.3
38,1995-07-22,ITA,1995,111.3
39,1996-07-22,ITA,1996,125.6
40,1997-07-22,ITA,1997,99.8
41,1998-07-22,ITA,1998,100.4
42,1999-07-22,ITA,1999,105.5
43,2000-07-22,ITA,2000,117.8
44,2001-07-22,ITA,2001,92.5
45,2002-07-22,ITA,2002,85.9
46,2003-07-22,ITA,2003,98.1
47,2004-07-22,ITA,2004,92.6
