,Club,Elo
0,Bayern,1865.66394043
1,Werder,1769.75512695
2,Leverkusen,1752.36767578
3,Hertha,1725.70629883
4,Dortmund,1721.65966797
5,Stuttgart,1713.8782959
6,Schalke,1702.18554688
7,Hamburg,1662.43164062
8,Wolfsburg,1627.69274902
9,Hannover,1619.87780762
10,Gladbach,1600.05371094
11,Mainz,1599.58728027
12,Lautern,1596.83483887
13,Frankfurt,1587.65576172
14,Nuernberg,1576.18322754
15,Koeln,1574.26147461
16,Bielefeld,1565.40380859
17,Duisburg,1514.26623535
