,Club,Country,Level,Elo
3,Bayern,GER,1,1947.40869141
12,Dortmund,GER,1,1826.01159668
18,RB Leipzig,GER,1,1784.65576172
21,Leverkusen,GER,1,1764.07568359
26,Frankfurt,GER,1,1748.75708008
35,Hoffenheim,GER,1,1730.13244629
38,Werder,GER,1,1720.48913574
45,Wolfsburg,GER,1,1707.35559082
47,Gladbach,GER,1,1696.69909668
69,Mainz,GER,1,1653.11694336
71,Schalke,GER,1,1649.55163574
75,Hertha,GER,1,1640.08728027
93,Duesseldorf,GER,1,1607.18811035
99,Freiburg,GER,1,1599.06689453
103,Augsburg,GER,1,1594.45263672
116,Koeln,GER,1,1571.43518066
144,Union Berlin,GER,1,1540.54699707
187,Paderborn,GER,1,1502.07092285
