,Club,Country,Level,Elo
11,Bayern,GER,1,1837.66638184
16,Werder,GER,1,1786.7401123
25,Schalke,GER,1,1756.58093262
32,Leverkusen,GER,1,1731.61279297
41,Hamburg,GER,1,1720.52319336
59,Dortmund,GER,1,1688.13342285
72,Hertha,GER,1,1669.04333496
79,Stuttgart,GER,1,1659.93579102
99,Nuernberg,GER,1,1628.66186523
107,Mainz,GER,1,1615.74133301
110,Hannover,GER,1,1611.13903809
118,Gladbach,GER,1,1601.46972656
121,Bochum,GER,1,1597.49133301
139,Frankfurt,GER,1,1582.36010742
148,Wolfsburg,GER,1,1571.25378418
170,Bielefeld,GER,1,1551.03051758
171,Aachen,GER,1,1550.02929688
220,Cottbus,GER,1,1502.21765137
