,Club,Country,Level,Elo
19,Werder,GER,1,1766.78088379
27,Bayern,GER,1,1736.4630127
29,Frankfurt,GER,1,1733.43225098
31,Dortmund,GER,1,1719.265625
35,Stuttgart,GER,1,1706.82128906
36,Leverkusen,GER,1,1704.03100586
44,Lautern,GER,1,1687.49523926
45,Karlsruhe,GER,1,1684.66186523
57,Gladbach,GER,1,1659.50793457
71,Koeln,GER,1,1640.8182373
75,Schalke,GER,1,1638.05517578
83,Hamburg,GER,1,1629.87475586
116,Nuernberg,GER,1,1588.54260254
118,Wattenscheid,GER,1,1582.32385254
132,Dresden,GER,1,1569.49572754
134,Freiburg,GER,1,1567.36230469
156,Duisburg,GER,1,1548.17980957
186,Lok Leipzig,GER,1,1515.19934082
