,Club,Country,Level,Elo
6,Bayern,GER,1,1867.23547363
11,Leverkusen,GER,1,1822.44641113
39,Hamburg,GER,1,1716.30322266
58,Werder,GER,1,1682.76000977
63,Muenchen 60,GER,1,1671.74377441
64,Lautern,GER,1,1669.80236816
65,Wolfsburg,GER,1,1667.57897949
70,Hertha,GER,1,1663.23840332
79,Stuttgart,GER,1,1650.60595703
81,Dortmund,GER,1,1646.18920898
83,Frankfurt,GER,1,1643.06359863
98,Rostock,GER,1,1631.68359375
101,Schalke,GER,1,1626.21191406
104,Unterhaching,GER,1,1623.5222168
108,Freiburg,GER,1,1618.09973145
132,Bochum,GER,1,1587.32458496
138,Koeln,GER,1,1580.97705078
173,Cottbus,GER,1,1547.34692383
