,Club,Country,Level,Elo
3,Bayern,GER,1,1885.27490234
27,Schalke,GER,1,1757.04492188
31,Leverkusen,GER,1,1747.99755859
34,Dortmund,GER,1,1738.22106934
41,Freiburg,GER,1,1725.46655273
43,Werder,GER,1,1724.41784668
55,Wolfsburg,GER,1,1702.25769043
60,Hertha,GER,1,1694.92895508
62,Lautern,GER,1,1686.57995605
63,Hamburg,GER,1,1684.15197754
72,Koeln,GER,1,1665.73596191
74,Stuttgart,GER,1,1661.42358398
85,Muenchen 60,GER,1,1650.57421875
97,Rostock,GER,1,1638.65002441
98,Gladbach,GER,1,1633.90966797
129,Nuernberg,GER,1,1603.05297852
130,Cottbus,GER,1,1602.26379395
148,St Pauli,GER,1,1571.85510254
