,Club,Country,Level,Elo
10,Dortmund,GER,1,1818.84899902
12,Lautern,GER,1,1796.73864746
15,Werder,GER,1,1787.3605957
16,Bayern,GER,1,1777.63745117
18,Gladbach,GER,1,1770.04138184
24,Freiburg,GER,1,1756.36877441
26,Leverkusen,GER,1,1745.875
39,Karlsruhe,GER,1,1716.4296875
44,Frankfurt,GER,1,1705.00805664
50,Koeln,GER,1,1688.0567627
64,Stuttgart,GER,1,1657.31616211
68,Schalke,GER,1,1654.0189209
83,Hamburg,GER,1,1634.26403809
100,Rostock,GER,1,1604.64660645
101,Muenchen 60,GER,1,1604.29760742
104,Uerdingen,GER,1,1602.46887207
119,St Pauli,GER,1,1586.89416504
155,Duesseldorf,GER,1,1549.72375488
