,Club,Country,Level,Elo
2,Bayern,GER,1,1980.29663086
13,Wolfsburg,GER,1,1822.11584473
14,Leverkusen,GER,1,1819.16906738
16,Gladbach,GER,1,1815.40820312
18,Dortmund,GER,1,1789.9987793
36,Schalke,GER,1,1717.60766602
49,Augsburg,GER,1,1696.99621582
55,Mainz,GER,1,1678.95947266
58,Hoffenheim,GER,1,1671.79931641
61,Frankfurt,GER,1,1667.81604004
71,Werder,GER,1,1655.20153809
74,Koeln,GER,1,1653.1472168
82,Hannover,GER,1,1642.16418457
90,Stuttgart,GER,1,1629.23083496
95,Hamburg,GER,1,1618.65344238
96,Hertha,GER,1,1617.87023926
158,Ingolstadt,GER,1,1540.10437012
196,Darmstadt,GER,1,1504.24658203
