,Club,Country,Level,Elo
7,Dortmund,GER,1,1822.21838379
11,Bayern,GER,1,1805.03259277
23,Schalke,GER,1,1736.29003906
25,Karlsruhe,GER,1,1731.24328613
29,Gladbach,GER,1,1722.68798828
31,Werder,GER,1,1722.41125488
45,Hamburg,GER,1,1694.92077637
49,Koeln,GER,1,1685.59619141
53,Muenchen 60,GER,1,1682.34875488
55,Freiburg,GER,1,1677.09606934
57,Leverkusen,GER,1,1675.41650391
71,Rostock,GER,1,1660.97607422
72,Stuttgart,GER,1,1660.29882812
82,Duesseldorf,GER,1,1634.85620117
87,Bochum,GER,1,1629.15026855
95,St Pauli,GER,1,1613.59729004
146,Duisburg,GER,1,1562.52258301
190,Bielefeld,GER,1,1519.7208252
