,Club,Country,Level,Elo
4,Bayern,GER,1,1884.94616699
6,Dortmund,GER,1,1846.76147461
11,Leverkusen,GER,1,1805.04162598
25,Schalke,GER,1,1747.13171387
29,Mainz,GER,1,1736.81054688
30,Stuttgart,GER,1,1735.8894043
33,Werder,GER,1,1729.05944824
35,Hannover,GER,1,1720.46362305
40,Wolfsburg,GER,1,1705.87683105
43,Hamburg,GER,1,1703.9407959
49,Hertha,GER,1,1692.48950195
55,Nuernberg,GER,1,1683.98278809
58,Hoffenheim,GER,1,1678.63122559
59,Lautern,GER,1,1676.51123047
74,Koeln,GER,1,1662.17578125
76,Gladbach,GER,1,1657.9029541
89,Freiburg,GER,1,1636.87780762
100,Augsburg,GER,1,1617.06958008
