,Club,Country,Level,Elo
2,Bayern,GER,1,1928.24389648
4,Dortmund,GER,1,1914.00622559
13,Schalke,GER,1,1803.09094238
19,Leverkusen,GER,1,1774.90563965
22,Stuttgart,GER,1,1772.09228516
24,Gladbach,GER,1,1764.29870605
37,Hannover,GER,1,1724.40625
53,Mainz,GER,1,1696.05310059
55,Wolfsburg,GER,1,1693.31335449
61,Nuernberg,GER,1,1684.25280762
63,Werder,GER,1,1679.33898926
64,Hoffenheim,GER,1,1677.90112305
65,Freiburg,GER,1,1677.05419922
73,Augsburg,GER,1,1662.7923584
78,Hamburg,GER,1,1654.81237793
85,Fuerth,GER,1,1648.64819336
94,Frankfurt,GER,1,1628.87524414
105,Duesseldorf,GER,1,1612.5456543
