,Club,Elo
0,Bayern,1845.56945801
1,Wolfsburg,1801.05200195
2,Stuttgart,1766.27807617
3,Hamburg,1738.16455078
4,Werder,1736.41027832
5,Dortmund,1729.84216309
6,Schalke,1714.28979492
7,Leverkusen,1685.65966797
8,Hertha,1683.22717285
9,Hoffenheim,1648.0378418
10,Nuernberg,1635.51171875
11,Hannover,1629.0020752
12,Bochum,1599.48706055
13,Mainz,1582.55383301
14,Freiburg,1581.83630371
15,Gladbach,1580.4317627
16,Frankfurt,1580.19055176
17,Koeln,1568.35168457
