,Club,Country,Level,Elo
7,Bayern,GER,1,1865.66772461
16,Werder,GER,1,1769.75891113
20,Leverkusen,GER,1,1752.37145996
31,Hertha,GER,1,1725.71008301
36,Dortmund,GER,1,1721.66345215
39,Stuttgart,GER,1,1713.88208008
49,Schalke,GER,1,1702.18933105
79,Hamburg,GER,1,1662.4354248
103,Wolfsburg,GER,1,1627.6965332
110,Hannover,GER,1,1619.8815918
128,Gladbach,GER,1,1600.05749512
129,Mainz,GER,1,1599.60107422
132,Lautern,GER,1,1596.83862305
137,Frankfurt,GER,1,1587.6595459
147,Nuernberg,GER,1,1576.18701172
148,Koeln,GER,1,1574.26525879
154,Bielefeld,GER,1,1565.40771484
201,Duisburg,GER,1,1514.27001953
