,Rank,Club,Country,Level,Elo
33,34,Santander,ESP,2,1742.48583984
40,41,Oviedo,ESP,2,1726.46203613
47,48,Atletico,ESP,2,1708.69970703
56,57,Numancia,ESP,2,1699.63891602
115,None,Albacete,ESP,2,1615.87072754
119,None,Gijon,ESP,2,1612.11120605
124,None,Recreativo,ESP,2,1609.06506348
127,None,Levante,ESP,2,1603.22192383
133,None,Extremadura,ESP,2,1594.97912598
136,None,Salamanca,ESP,2,1587.37719727
147,None,Leganes,ESP,2,1571.5612793
151,None,Jaen,ESP,2,1566.11315918
157,None,Badajoz,ESP,2,1559.9621582
158,None,Cordoba,ESP,2,1559.4152832
162,None,Burgos,ESP,2,1558.28894043
163,None,Poli Ejido,ESP,2,1558.28894043
164,None,Tarragona,ESP,2,1558.28894043
165,None,Xerez,ESP,2,1558.28894043
167,None,Eibar,ESP,2,1555.45605469
173,None,Ferrol,ESP,2,1549.65588379
181,None,Elche,ESP,2,1537.85986328
188,None,Murcia,ESP,2,1533.96582031
