,Club,Country,Level,Elo
122,Bochum,GER,2,1609.86999512
159,Rostock,GER,2,1563.02612305
162,Muenchen 60,GER,2,1557.97106934
209,Aachen,GER,2,1509.4354248
211,Fuerth,GER,2,1506.12463379
247,Aue,GER,2,1483.07019043
257,Freiburg,GER,2,1478.63903809
279,Karlsruhe,GER,2,1457.7409668
280,Burghausen,GER,2,1456.19555664
290,Dresden,GER,2,1448.7409668
305,Cottbus,GER,2,1437.67907715
314,Ahlen,GER,2,1430.58569336
339,Unterhaching,GER,2,1410.2043457
359,Saarbruecken,GER,2,1399.14624023
373,Braunschweig,GER,2,1388.55651855
374,Offenbach,GER,2,1388.55651855
375,Paderborn,GER,2,1388.55651855
376,Siegen,GER,2,1388.55651855
